0;0;0;0;x;x
1;255;0;0;background;x
2;114;60;104;kaer_trolde;x
3;139;84;129;havntrolde;x 
4;120;85;114;vejen;x 
5;177;108;164;rannvaig;x 
6;195;141;185;boxholm;x 
7;114;87;109;kaer_nyssen;x 
8;76;38;69;rogne;x 
9;98;60;91;blandare;x 
10;107;76;138;tinglev;x 
11;205;101;193;Mountain rogne;x #impassible
12;99;62;138;arden;x 
13;152;68;201;skive;x 
14;63;42;84;gedynieth;x 
15;190;149;237;kaer_gelen;x 
16;194;134;217;trige;x 
17;88;74;102;brovst;x 
18;101;60;143;redgill;x 
19;123;76;138;naerbjerg;x 
20;138;76;126;fyresdal;x 
21;174;70;188;brande; 
22;119;58;145;skjern;x 
23;116;3;149;fornhala;x 
24;185;121;191;fayrlund;x 
25;150;21;158;sund;x 
26;203;117;208;sabro;x 
27;170;51;177;nibe;x 
28;223;76;232;arinbjorn;x 
29;149;3;137;skagen;x  
30;136;79;131;Holmstein;x 
31;219;82;207;hornslet;x 
32;93;51;89; Muire;x 
33;174;93;166;Kaer Muire;x 
34;149;21;158;hov;x
35;88;0;170;vejle;x
36;132;28;167;svorlag;x
37;98;22;133;lihme;x
38;136;72;181;ellinge;x
39;110;0;173;faxe;x
40;163;59;211;svendborg;x
41;133;0;148;varde;x
42;177;111;185;farum;x
43;122;0;178;alshus;x
44;87;36;107;degernes;x
45;101;36;107;fosby;x
46;201;117;238;hasle;x
47;125;0;197;kambo;x
48;148;0;193;lervik;x
49;135;39;166;kjeberg;x
50;195;70;226;tomter;x
51;139;78;165;orje;x
52;182;92;255;hafslund;x
53;112;68;160;barmen;x
54;170;76;201;dramdal;x
55;124;27;129;egge;x
56;158;113;186;gol;x
57;98;27;129;hovet;x
58;181;0;222;harstad;x
59;125;0;153;notodden;x
60;172;55;218;brekstad;x
61;149;0;207;greverud;x
62;145;66;176;hakadal;x
63;173;55;205;dalsroa;x
64;205;127;230;gjovik;x
65;153;0;184;urskar;x
66;153;53;211;floro;x
67;184;74;228;varberg;x
68;114;0;228;lerum;x
69;87;46;116;lund;x
70;185;55;225;torslanda;x
71;157;0;255;visby;x
72;153;108;212;glogo;x
73;144;28;240;uddevalla;x 
74;198;161;224;hyggen;x 
75;169;157;178;SPIKEROOG-MOUNTAIN;x;	#impassable
76;159;119;175;ANSKELLIGE-MOUNTAIN;x;	#impassable
77;140;63;145;ARDSKELLIGE-MOUNTAIN-NORTH;x;	#impassable
78;181;83;188;ARDSKELLIGE-MOUNTAIN-SOUTHWEST;x;	#impassable
79;220;100;229;ARDSKELLIGE-MOUNTAIN-SOUTHEAST;x;	#impassable
80;153;102;175;UNDVIK-MOUNTAIN-SOUTH;x;	#impassable
81;126;85;145;HINDARSFJALL-MOUNTAIN-SOUTH;x;	#impassable
